cc_id,length_nm,adopt_type,turn_angle,e2e_ratio,h_mean_nm,h_max_on_path,end_tangent_angle,n_pixel,endpoints
2725,318.63,polyline,,,0.9419,,,14,
1716,318.63,polyline,,,0.9884,,,19,
2873,317.24,polyline,,,1.2359,,,18,
1128,317.24,polyline,,,2.2637,,,16,
124,313.89,cc_longest,180.0,1.1946,1.0194,1.745,131.7,21,"27,507;18,497"
2272,309.15,polyline,,,0.8897,,,16,
856,305.8,polyline,,,0.8966,,,15,
1795,305.8,polyline,,,0.7699,,,15,
6,302.45,polyline,,,1.476,,,14,
1841,302.45,polyline,,,0.9363,,,14,
83,302.45,polyline,,,1.0201,,,0,
4044,302.45,polyline,,,2.421,,,0,
726,295.74,polyline,,,1.0918,,,12,
1643,291.01,polyline,,,1.5291,,,13,
1972,287.65,polyline,,,1.177,,,12,
2123,282.92,polyline,,,1.6785,,,13,
2680,282.92,cc_longest,180.0,1.0797,1.4081,2.188,174.4,15,"359,451;353,463"
3011,279.56,polyline,,,1.3627,,,12,
1605,278.18,polyline,,,1.2246,,,14,
1153,274.83,polyline,,,0.8089,,,13,
2942,274.83,polyline,,,1.5675,,,0,
2487,274.83,polyline,,,0.7898,,,13,
1850,271.47,cc_longest,180.0,1.0854,0.9514,1.583,177.4,14,"252,145;242,137"
3091,266.74,polyline,,,2.2302,,,13,
3210,263.38,polyline,,,0.8107,,,12,
3002,263.38,polyline,,,1.4167,,,12,
1848,263.38,polyline,,,0.9034,,,12,
302,263.38,polyline,,,0.9386,,,0,
369,263.38,polyline,,,0.8952,,,12,
740,260.03,polyline,,,0.8704,,,11,
3354,258.65,polyline,,,1.7957,,,0,
2213,255.29,cc_longest,180.0,1.1208,1.1309,1.709,141.6,13,"299,91;293,101"
2307,251.94,polyline,,,0.878,,,11,
1692,247.2,polyline,,,2.5173,,,0,
1996,247.2,polyline,,,1.0711,,,12,
2929,243.85,polyline,,,1.0455,,,0,
2863,243.85,polyline,,,1.0032,,,11,
983,242.47,polyline,,,0.8419,,,13,
2798,235.76,polyline,,,1.1163,,,0,
1,234.38,polyline,,,4.8186,,,13,
214,232.41,polyline,,,0.883,,,10,
3203,231.02,polyline,,,1.2613,,,12,
11,227.67,polyline,,,1.7788,,,0,
2203,227.67,polyline,,,1.0303,,,11,
146,227.67,polyline,,,1.3068,,,11,
3750,227.67,polyline,,,1.2663,,,11,
781,227.67,polyline,,,0.9061,,,11,
1830,227.67,polyline,,,1.0432,,,11,
2935,224.32,polyline,,,0.8478,,,10,
106,224.32,polyline,,,1.2054,,,10,
3252,224.32,polyline,,,0.8726,,,10,
2651,224.32,cc_longest,180.0,1.2458,5.1407,8.435,112.8,17,"360,174;351,172"
2232,219.58,polyline,,,0.9375,,,11,
602,219.58,polyline,,,1.1483,,,11,
258,219.58,polyline,,,1.0783,,,13,
